Sample	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped
209173_HY5CNBGXT_TCDM_2_G06_X9_35_2_o_GCATGG_S47_R1_001	88.18	4666723.0
209174_HY5CNBGXT_TCDM_2_H06_C64_3_2_o_AATAGC_S48_R1_001	87.43	5424491.0
209175_HY5CNBGXT_TCDM_2_A07_X9_35_1_i_GTGCCA_S49_R1_001	90.66	3983108.0
209176_HY5CNBGXT_TCDM_2_B07_C64_3_3_i_TCGAGG_S50_R1_001	82.85	3473412.0
209177_HY5CNBGXT_TCDM_2_C07_C17_3_3_i_CACTAA_S51_R1_001	84.44	4035828.0
209178_HY5CNBGXT_TCDM_2_D07_X9_35_1_o_GGTATA_S52_R1_001	89.02	1354586.0
209179_HY5CNBGXT_TCDM_2_E07_X2_24_3_i_CGCCTG_S53_R1_001	79.42	4088712.0
209180_HY5CNBGXT_TCDM_2_F07_X2_24_2_o_AATGAA_S54_R1_001	69.96	3658638.0
209181_HY5CNBGXT_TCDM_2_G07_X2_24_1_o_ACAACG_S55_R1_001	81.03	5186142.0
209182_HY5CNBGXT_TCDM_2_H07_X10_39_2_i_ATATCC_S56_R1_001	81.71	4505774.0
209183_HY5CNBGXT_TCDM_2_A08_X2_24_3_o_AGTACT_S57_R1_001	79.93	6555527.0
209184_HY5CNBGXT_TCDM_2_B08_X2_24_2_i_ATAAGA_S58_R1_001	75.12	3438991.0
209185_HY5CNBGXT_TCDM_2_C08_X10_39_3_o_GGTGAG_S59_R1_001	85.72	4277243.0
209186_HY5CNBGXT_TCDM_2_D08_X10_39_2_o_TTCCGC_S60_R1_001	87.27	4796411.0
209187_HY5CNBGXT_TCDM_2_E08_X2_24_1_i_GAAGTG_S61_R1_001	89.97	4972280.0
209188_HY5CNBGXT_TCDM_2_F08_X10_39_3_i_CAATGC_S62_R1_001	84.05	4294671.0
209189_HY5CNBGXT_TCDM_2_G08_X5_36_3_i_ACGTCT_S63_R1_001	78.62	4538194.0
209190_HY5CNBGXT_TCDM_2_H08_C64_4_2_i_CAGGAC_S64_R1_001	76.87	5018218.0
209191_HY5CNBGXT_TCDM_2_A09_C64_4_3_i_AAGCTC_S65_R1_001	78.25	4405317.0
209192_HY5CNBGXT_TCDM_2_B09_X5_36_2_i_GACGAT_S66_R1_001	77.64	4840386.0
209193_HY5CNBGXT_TCDM_2_C09_C64_4_1_i_TCGTTC_S67_R1_001	48.82	2226612.0
209194_HY5CNBGXT_TCDM_2_D09_C14_4_3_o_CCAATT_S68_R1_001	75.55	5017943.0
209195_HY5CNBGXT_TCDM_2_E09_C64_4_2_o_AGTTGA_S69_R1_001	81.91	5305055.0
209196_HY5CNBGXT_TCDM_2_F09_C64_4_1_o_AACCGA_S70_R1_001	69.28	3142308.0
209197_HY5CNBGXT_TCDM_2_G09_X5_36_1_i_CAGATG_S71_R1_001	69.84	3206252.0
209198_HY5CNBGXT_TCDM_2_H09_X5_36_2_o_GTAGAA_S72_R1_001	76.37	4842213.0
209199_HY5CNBGXT_TCDM_2_A10_A03_4_2_i_GACATC_S73_R1_001	85.11	4949352.0
209200_HY5CNBGXT_TCDM_2_B10_A03_4_3_o_CGATCT_S74_R1_001	75.46	3577254.0
209201_HY5CNBGXT_TCDM_2_C10_A27_4_1_i_CGTCGC_S75_R1_001	73.51	3368891.0
209202_HY5CNBGXT_TCDM_2_D10_A27_4_1_o_ATGGCG_S76_R1_001	67.19	924720.0
209203_HY5CNBGXT_TCDM_2_E10_A27_4_2_o_ATTGGT_S77_R1_001	77.88	5102780.0
209204_HY5CNBGXT_TCDM_2_F10_X4_24_1_o_GCCACA_S78_R1_001	74.97	4416926.0
209205_HY5CNBGXT_TCDM_2_G10_A27_4_2_i_CATCTA_S79_R1_001	80.54	5227893.0
209206_HY5CNBGXT_TCDM_2_H10_A27_4_3_i_AACAAG_S80_R1_001	73.51	4639483.0
209207_HY5CNBGXT_TCDM_2_A11_X4_24_2_o_GCAGCC_S81_R1_001	92.85	5216954.0
209208_HY5CNBGXT_TCDM_2_B11_X4_24_1_i_ACTCTT_S82_R1_001	94.09	5390761.0
209209_HY5CNBGXT_TCDM_2_C11_X5_36_3_o_TGCTAT_S83_R1_001	67.19	29876.0
209210_HY5CNBGXT_TCDM_2_D11_X4_24_2_i_AAGTGG_S84_R1_001	83.61	3840143.0
209211_HY5CNBGXT_TCDM_2_E11_X4_24_3_o_CTCATA_S85_R1_001	84.71	4751023.0
209212_HY5CNBGXT_TCDM_2_F11_BLANK_AATCCG_S86_R1_001	59.06	9906.0
209213_HY5CNBGXT_TCDM_2_G11_A03_4_1_i_GGCCAA_S87_R1_001	89.73	4394995.0
209214_HY5CNBGXT_TCDM_2_H11_X8_37_2_i_AGACCA_S88_R1_001	76.67	4164940.0
209215_HY5CNBGXT_TCDM_2_A12_X4_24_3_i_CGCGGA_S89_R1_001	87.52	5997913.0
209216_HY5CNBGXT_TCDM_2_B12_X8_37_3_o_CCTGCT_S90_R1_001	84.0	4584865.0
209217_HY5CNBGXT_TCDM_2_C12_X8_37_2_o_GCGCTG_S91_R1_001	83.27	4097186.0
209218_HY5CNBGXT_TCDM_2_D12_X8_37_1_o_GAACCT_S92_R1_001	84.36	4301325.0
209219_HY5CNBGXT_TCDM_2_E12_X8_37_3_i_TTCGAG_S93_R1_001	87.44	5733542.0
209220_HY5CNBGXT_TCDM_2_F12_C14_4_1_i_AGAATC_S94_R1_001	85.35	5278916.0
209221_HY5CNBGXT_TCDM_2_G12_X8_37_1_i_AGGCAT_S95_R1_001	87.97	4035667.0
209222_HY5CNBGXT_TCDM_2_H12_C14_4_1_o_ACACGC_S96_R1_001	86.34	5323466.0
