cassava protein ID,EC number,Annotated function,transcript ID (Phytozome),EC number (Phytozome) ,Abbreviation,Description,Cassava gene name(s),Function category,Citations,Location,Genes with  related TFBS,Cellular component
,,,,,,ADP-glc PPase / G1P Adenyltransferase,Manes.18G019600,Starch synthesis,,,,
,,,,,,ADP-glc PPase / G1P Adenyltransferase,Manes.S107700,Starch synthesis,,,,
,,,,,,G1P phosphotransferase,Manes.06G141300,Starch synthesis,,,,
,,,,,,G1P phosphotransferase,Manes.10G046600,Starch synthesis,,,,
,,,,,,G1P phosphotransferase,Manes.14G031100,Starch synthesis,,,,
,,,,,,G1P phosphotransferase,Manes.15G131800,Starch synthesis,,,,
,,,,,,G1P phosphotransferase,Manes.17G079900,Starch synthesis,,,,
,,,,,,G1P phosphotransferase,Manes.17G081000,Starch synthesis,,,,
,,,,,,G6P isomerase,Manes.02G146400,Starch synthesis,,,,
,,,,,,G6P isomerase,Manes.05G160800,Starch synthesis,,,,
,,,,,,G6P isomerase,Manes.18G027800,Starch synthesis,,,,
,,,,,,G6P isomerase,Manes.18G060600,Starch synthesis,,,,
,,,,,,α-amylase,Manes.08G091100,Starch degradation (PWY-6724),,,,
,,,,,,α-amylase,Manes.05G194300,Starch degradation,,,,
,,,,,,β-amylase,Manes.03G155800,Starch degradation (PWY-6724),,,,
,,,,,,β-amylase,Manes.02G006200,Starch degradation,,,,
,,,,,,β-amylase,Manes.03G191000,Starch degradation,,,,
,,,,,,β-amylase,Manes.05G034800,Starch degradation,,,,
,,,,,,β-amylase,Manes.05G034900,Starch degradation,,,,
,,,,,,β-amylase,Manes.12G078500,Starch degradation,,,,
,,,,,,β-amylase,Manes.14G122700,Starch degradation,,,,
,,,,,,β-amylase,Manes.15G047700,Starch degradation,,,,
,,,,,,β-amylase,Manes.15G171200,Starch degradation,,,,
,,,,,,β-amylase,Manes.15G190300,Starch degradation,,,,
,,,,,,Pyruvate phosphate dikinase,Manes.05G189000,,,,,
,,,,,,Pyruvate phosphate dikinase,Manes.13G026800,,,,,
,,,,,,Glycosidase/ alpha-glucanotransferase,Manes.08G162200,,,,,
,,,,,,Glycosidase/ alpha-glucanotransferase,Manes.12G142500,,,,,
