tube_number,sample_ID,sample_weight_g,date_extracted,technician,note
365,105_X5_66_rt3_i,0.247,7/11/24,KG,
366,105_X5_66_rt3_o,0.242,8/7/24,SV,
367,106_X4_46_rt1_i,0.234,7/11/24,KG,
368,106_X4_46_rt1_o,0.255,7/16/24,KG,
369,106_X4_46_rt2_i,0.241,7/16/24,KG,
370,106_X4_46_rt2_o,0.256,8/7/24,SV,
371,106_X4_46_rt3_i,0.246,7/11/24,KG,
372,106_X4_46_rt3_o,0.239,7/16/24,KG,
373,107_X10_52_rt1_i,0.251,7/16/24,KG,
374,107_X10_52_rt1_o,0.256,7/16/24,SV,
375,107_X10_52_rt2_i,0.242,7/16/24,KG,
376,107_X10_52_rt2_o,,,,not grounded enough
377,107_X10_52_rt3_i,0.248,7/16/24,KG,
378,107_X10_52_rt3_o,0.255,7/16/24,KG,
379,112_X4_67_rt1_i,0.243,7/16/24,KG,
380,112_X4_67_rt1_o,0.26,8/7/24,SV,
381,112_X4_67_rt2_i,0.248,7/16/24,KG,
382,112_X4_67_rt2_o,0.25,7/16/24,KG,
383,112_X4_67_rt3_i,0.24,7/16/24,KG,
384,112_X4_67_rt3_o,0.247,8/7/24,SV,
385,118_C14_rt1_i,0.247,6/25/24,SV,
386,118_C14_rt1_o,0.23,7/11/24,KG,
387,118_C14_rt2_i,0.244,7/16/24,SV,
388,118_C14_rt2_o,0.241,7/16/24,KG,
389,118_C14_rt3_i,0.254,7/16/24,KG,
390,118_C14_rt3_o,0.255,7/16/24,KG,
391,205_X1_54_rt1_i,0.251,7/16/24,SV,
392,205_X1_54_rt1_o,0.256,7/16/24,KG,
393,205_X1_54_rt2_i,0.257,8/7/24,SV,
394,205_X1_54_rt2_o,0.251,7/16/24,KG,
395,205_X1_54_rt3_i,0.239,7/16/24,KG,
396,205_X1_54_rt3_o,0.248,8/15/24,SV,
397,207_A04_rt1_i,0.232,7/11/24,KG,
398,207_A04_rt1_o,0.244,7/16/24,SV,
399,207_A04_rt2_i,0.253,7/16/24,SV,
400,207_A04_rt2_o,0.254,7/16/24,SV,
401,207_A04_rt3_i,0.246,7/16/24,SV,
402,207_A04_rt3_o,0.244,7/16/24,KG,
403,210_X11_68_rt1_i,0.259,7/16/24,KG,
404,210_X11_68_rt1_o,0.265,8/15/24,SV,
405,210_X11_68_rt2_i,0.256,7/16/24,SV,
406,210_X11_68_rt2_o,0.247,7/16/24,SV,
407,210_X11_68_rt3_i,0.249,7/16/24,KG,
408,210_X11_68_rt3_o,0.252,7/16/24,KG,
409,218_X8_41.5_rt1_i,0.248,6/25/24,SV,
410,218_X8_41.5_rt1_o,0.256,6/27/24,KG,
411,218_X8_41.5_rt2_i,0.253,7/16/24,SV,
412,218_X8_41.5_rt2_o,0.25,8/15/24,SV,
413,218_X8_41.5_rt3_i,0.252,6/27/24,KG,
414,218_X8_41.5_rt3_o,0.249,6/25/24,SV,
