Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
3_D11_210_X11_68_rt2_o_10479813_22MM3HLT4_L3_R2_trimmed2	41.84700405505729	46.0	98.88606701297552	102	27.27272727272727	15043027.0
3_D12_302_C17_rt1_o_10479813_22MM3HLT4_L3_R1_trimmed2	84.22689935834754	42.0	86.06948778587397	87	27.27272727272727	11237644.0
3_D12_302_C17_rt1_o_10479813_22MM3HLT4_L3_R2_trimmed2	36.56302907297086	42.0	99.60926231512585	102	27.27272727272727	11237644.0
3_E01_320_X2_24_rt3_o_10479813_22MM3HLT4_L3_R1_trimmed2	52.10075203770696	44.0	106.02370194689203	112	36.36363636363637	66619.0
3_E01_320_X2_24_rt3_o_10479813_22MM3HLT4_L3_R2_trimmed2	27.42460859514553	43.0	111.18602801002717	122	36.36363636363637	66619.0
3_E02_412_X11_68_rt1_o_10479813_22MM3HLT4_L3_R1_trimmed2	57.432396179049896	40.0	90.9821368078176	92	36.36363636363637	383750.0
3_E02_412_X11_68_rt1_o_10479813_22MM3HLT4_L3_R2_trimmed2	25.677101706556897	41.0	101.64107882736157	107	36.36363636363637	383750.0
3_E03_115_X1_54_rt3_i_10479813_22MM3HLT4_L3_R1_trimmed2	88.3148856571666	38.0	108.02147773835422	112	27.27272727272727	23775129.0
3_E03_115_X1_54_rt3_i_10479813_22MM3HLT4_L3_R2_trimmed2	37.85156473449142	39.0	114.54521588505366	127	27.27272727272727	23775129.0
3_E04_418_X5_36_rt2_i_10479813_22MM3HLT4_L3_R1_trimmed2	88.78975127597116	38.0	107.88328575338691	112	18.181818181818183	41898604.0
3_E04_418_X5_36_rt2_i_10479813_22MM3HLT4_L3_R2_trimmed2	31.878150145595015	38.0	113.93912947553098	127	18.181818181818183	41898604.0
