Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
4_A10_101_X2_24_rt3_i_10479813_22MM3HLT4_L3_R1_trimmed2	4_A10_101_X2_24_rt3_i_10479813_22MM3HLT4_L3_R1_trimmed2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26268594.0	3.1 Gbp	0.0	18-139	37.0	17.73811186519504	118.48864381550075	137	pass	pass	fail	pass	warn	pass	pass	warn	fail	warn	pass
4_A10_101_X2_24_rt3_i_10479813_22MM3HLT4_L3_R2_trimmed2	4_A10_101_X2_24_rt3_i_10479813_22MM3HLT4_L3_R2_trimmed2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26268594.0	3.1 Gbp	0.0	18-151	36.0	78.2456825366289	118.15037534936205	132	pass	warn	warn	pass	fail	fail	pass	warn	pass	warn	pass
4_A11_303_X11_68_rt3_i_10479813_22MM3HLT4_L3_R1_trimmed2	4_A11_303_X11_68_rt3_i_10479813_22MM3HLT4_L3_R1_trimmed2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18061557.0	2 Gbp	0.0	18-139	36.0	18.719301651099773	114.6046768836153	137	pass	pass	fail	pass	warn	fail	pass	warn	fail	warn	pass
4_A11_303_X11_68_rt3_i_10479813_22MM3HLT4_L3_R2_trimmed2	4_A11_303_X11_68_rt3_i_10479813_22MM3HLT4_L3_R2_trimmed2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18061557.0	2 Gbp	0.0	18-151	37.0	78.50034690622249	115.12424493635848	132	pass	warn	warn	pass	fail	fail	pass	warn	pass	warn	pass
4_A12_403_A20_rt2_o_10479813_22MM3HLT4_L3_R1_trimmed2	4_A12_403_A20_rt2_o_10479813_22MM3HLT4_L3_R1_trimmed2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	21759317.0	2.5 Gbp	0.0	18-139	37.0	20.177651432348075	115.75381957071538	137	pass	pass	fail	pass	warn	pass	pass	warn	fail	warn	pass
4_A12_403_A20_rt2_o_10479813_22MM3HLT4_L3_R2_trimmed2	4_A12_403_A20_rt2_o_10479813_22MM3HLT4_L3_R2_trimmed2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	21759317.0	2.4 Gbp	0.0	18-151	36.0	76.30983221012166	114.04483261124419	132	pass	warn	warn	pass	fail	fail	pass	warn	pass	warn	pass
4_B01_304_X5_31_rt3_o_10479813_22MM3HLT4_L3_R1_trimmed2	4_B01_304_X5_31_rt3_o_10479813_22MM3HLT4_L3_R1_trimmed2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14600366.0	1.7 Gbp	0.0	18-139	37.0	20.026894000311284	119.10006447783569	137	pass	pass	fail	pass	warn	warn	pass	warn	fail	warn	pass
4_B01_304_X5_31_rt3_o_10479813_22MM3HLT4_L3_R2_trimmed2	4_B01_304_X5_31_rt3_o_10479813_22MM3HLT4_L3_R2_trimmed2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14600366.0	1.7 Gbp	0.0	18-151	37.0	78.9523118923566	120.53354395362418	132	pass	warn	warn	pass	fail	fail	pass	warn	pass	warn	pass
4_B02_319_X8_37_rt2_o_10479813_22MM3HLT4_L3_R1_trimmed2	4_B02_319_X8_37_rt2_o_10479813_22MM3HLT4_L3_R1_trimmed2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18225587.0	2.2 Gbp	0.0	18-139	37.0	16.822633085347704	119.86677927026439	137	pass	pass	fail	pass	warn	warn	pass	warn	fail	warn	pass
4_B02_319_X8_37_rt2_o_10479813_22MM3HLT4_L3_R2_trimmed2	4_B02_319_X8_37_rt2_o_10479813_22MM3HLT4_L3_R2_trimmed2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18225587.0	2.1 Gbp	0.0	18-151	37.0	72.1335502136695	119.75644169924404	132	pass	warn	warn	pass	fail	fail	pass	warn	pass	warn	pass
4_B03_409_X2_45_rt1_i_10479813_22MM3HLT4_L3_R1_trimmed2	4_B03_409_X2_45_rt1_i_10479813_22MM3HLT4_L3_R1_trimmed2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2075808.0	217.1 Mbp	0.0	18-139	42.0	26.05236903704825	104.2532840224144	112	pass	pass	fail	pass	warn	fail	pass	warn	fail	fail	pass
4_B03_409_X2_45_rt1_i_10479813_22MM3HLT4_L3_R2_trimmed2	4_B03_409_X2_45_rt1_i_10479813_22MM3HLT4_L3_R2_trimmed2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2075808.0	232.6 Mbp	0.0	18-151	42.0	63.41627211040981	112.04086842328385	122	pass	warn	warn	pass	fail	fail	pass	warn	warn	fail	pass
4_B04_319_X8_37_rt3_i_10479813_22MM3HLT4_L3_R1_trimmed2	4_B04_319_X8_37_rt3_i_10479813_22MM3HLT4_L3_R1_trimmed2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23118725.0	2.8 Gbp	0.0	18-139	38.0	10.936975582282557	120.65059253916468	137	pass	pass	fail	pass	warn	warn	pass	warn	fail	warn	pass
4_B04_319_X8_37_rt3_i_10479813_22MM3HLT4_L3_R2_trimmed2	4_B04_319_X8_37_rt3_i_10479813_22MM3HLT4_L3_R2_trimmed2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23118725.0	2.8 Gbp	0.0	18-151	39.0	73.9504323264207	124.21621412945566	137	pass	warn	warn	pass	fail	fail	pass	warn	pass	warn	pass
4_B05_418_X5_36_rt1_i_10479813_22MM3HLT4_L3_R1_trimmed2	4_B05_418_X5_36_rt1_i_10479813_22MM3HLT4_L3_R1_trimmed2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	16392012.0	2 Gbp	0.0	18-139	37.0	16.94093569232517	125.97440716856478	137	pass	pass	fail	pass	warn	warn	pass	warn	fail	warn	pass
4_B05_418_X5_36_rt1_i_10479813_22MM3HLT4_L3_R2_trimmed2	4_B05_418_X5_36_rt1_i_10479813_22MM3HLT4_L3_R2_trimmed2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	16392012.0	2 Gbp	0.0	18-151	37.0	81.4392424953018	125.06513721439443	137	pass	warn	warn	pass	fail	fail	pass	warn	pass	warn	pass
4_B06_207_A04_rt2_o_10479813_22MM3HLT4_L3_R1_trimmed2	4_B06_207_A04_rt2_o_10479813_22MM3HLT4_L3_R1_trimmed2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	25881906.0	3.1 Gbp	0.0	18-139	37.0	14.479137712598366	120.3913081980902	137	pass	pass	fail	pass	warn	pass	pass	warn	fail	warn	pass
4_B06_207_A04_rt2_o_10479813_22MM3HLT4_L3_R2_trimmed2	4_B06_207_A04_rt2_o_10479813_22MM3HLT4_L3_R2_trimmed2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	25881906.0	3.1 Gbp	0.0	18-151	37.0	69.26795636980515	121.01613459225143	132	pass	warn	warn	pass	fail	fail	pass	warn	warn	warn	pass
4_B07_403_A20_rt3_o_10479813_22MM3HLT4_L3_R1_trimmed2	4_B07_403_A20_rt3_o_10479813_22MM3HLT4_L3_R1_trimmed2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	24681385.0	3.2 Gbp	0.0	18-139	38.0	12.574829674185006	130.2471046499214	137	pass	pass	fail	pass	warn	pass	pass	warn	fail	warn	pass
4_B07_403_A20_rt3_o_10479813_22MM3HLT4_L3_R2_trimmed2	4_B07_403_A20_rt3_o_10479813_22MM3HLT4_L3_R2_trimmed2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	24681385.0	2.9 Gbp	0.0	18-151	36.0	76.20820341100169	121.3670652193951	132	pass	warn	warn	pass	fail	fail	pass	warn	pass	warn	pass
4_B08_220_X10_39_rt2_o_10479813_22MM3HLT4_L3_R1_trimmed2	4_B08_220_X10_39_rt2_o_10479813_22MM3HLT4_L3_R1_trimmed2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	24469798.0	3.1 Gbp	0.0	18-139	37.0	14.857399711012878	125.6809030871444	137	pass	pass	fail	pass	warn	warn	pass	warn	fail	warn	pass
