Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+
209128_HY5CNBGXT_TCDM_2_B01_X8_415_2_i_GATCAC_S2_R1_001										12.539207445652098	3.6449355973914535	5.856736200571616	1.8940669936837382	1.8624981549946698	0.0	0.0
209129_HY5CNBGXT_TCDM_2_C01_X8_415_2_o_ACCAGT_S3_R1_001										11.45553883836758	3.431309204093874	6.176524190754193	2.0450118431531035	2.3724161727213886	0.20262022889760298	0.0
209130_HY5CNBGXT_TCDM_2_D01_X4_46_3_o_TGCACG_S4_R1_001										10.491215554824787	3.0653509374947903	5.110049869440251	1.3189614979047992	1.9896204560498847	0.1806150014259192	0.0
209131_HY5CNBGXT_TCDM_2_E01_X4_46_1_i_ACATTA_S5_R1_001										11.417107481595322	3.1299897827166983	4.831642645524793	1.5189106897916844	1.3484671394561742	0.0	0.0
209132_HY5CNBGXT_TCDM_2_F01_C14_3_2_o_GTGTAG_S6_R1_001										12.945918837743944	3.3884114591698156	5.68215730888451	1.4524788984588144	0.8655585022963893	0.0	0.0
209133_HY5CNBGXT_TCDM_2_G01_A03_3_1_o_CTAGTC_S7_R1_001										12.598068625453903	3.672451162071772	5.6662886933170515	1.2546853919045073	0.6895636427365088	0.0	0.0
209134_HY5CNBGXT_TCDM_2_H01_A03_3_3_o_TGTGCA_S8_R1_001										12.32756276983378	3.4327874546929587	6.526802417280379	1.7980873720093187	3.133639038221419	1.2582518792178878	1.4819016662420934
209135_HY5CNBGXT_TCDM_2_A02_X4_32_2_i_TCAGGA_S9_R1_001										14.173590472684907	4.317274600316443	7.203873258251564	2.1518257283202167	2.4531513979152977	0.19103015610609017	0.7603383667715302
209136_HY5CNBGXT_TCDM_2_B02_C14_3_2_i_CGGTTA_S10_R1_001										14.26294412074714	4.13509084797929	6.963548132518514	1.9682371902787301	2.0981755587640007	0.0	0.3637708137332748
209137_HY5CNBGXT_TCDM_2_C02_X4_32_3_i_TTAACT_S11_R1_001										14.098632173080683	4.2955983118586945	7.423794101957518	2.124801517329352	2.4254064679309764	0.2211038013560893	0.4245874539005737
209138_HY5CNBGXT_TCDM_2_D02_X4_32_3_o_ATGAAC_S12_R1_001										13.345058960884677	3.741148996066447	6.040204426338406	1.3324493717341412	1.7420546663105159	0.0	0.3086054403198965
209139_HY5CNBGXT_TCDM_2_E02_A04_3_2_o_CCTAAG_S13_R1_001										10.560797303708814	2.6848964256327523	4.5016369305815225	0.7504032254895436	0.17231347726793098	0.0	0.0
209140_HY5CNBGXT_TCDM_2_F02_X4_32_1_i_CCGACC_S14_R1_001										15.677921381259798	4.590418341425472	8.411409799892853	1.8055021890256189	3.6686337936638655	0.9178010174621448	0.4390074207394669
209141_HY5CNBGXT_TCDM_2_G02_A04_3_2_i_GGCTGC_S15_R1_001										13.78309554785292	3.7769018026484953	6.358394621442713	1.5985032890378215	1.2458485529674475	0.0	0.0
209142_HY5CNBGXT_TCDM_2_H02_A04_3_1_o_TACCTT_S16_R1_001										13.139202166529104	3.6226813450890445	5.658795087193694	1.402855668653476	1.2159166604539253	0.0	0.0
209143_HY5CNBGXT_TCDM_2_A03_C14_3_3_o_TCTTAA_S17_R1_001										12.28942443954896	3.6379140123099805	5.123280806099975	2.0759237278894402	1.534064834796986	0.0	0.0
209144_HY5CNBGXT_TCDM_2_B03_C14_3_1_i_GTCAGG_S18_R1_001										13.857815325099049	4.093726848656254	6.4227400040496025	1.8465917456655674	1.8040425182432582	0.0	0.0
209145_HY5CNBGXT_TCDM_2_C03_A04_3_3_o_ATACTG_S19_R1_001										11.89050644489287	2.836438776677591	4.69728340581034	0.7310938350293651	0.25725442459840253	0.0	0.0
209146_HY5CNBGXT_TCDM_2_D03_A27_3_3_i_TATGTC_S20_R1_001										13.886098507173811	4.02083821306852	6.1242880206700105	1.616535057020685	1.3153981710744655	0.0	0.0
209147_HY5CNBGXT_TCDM_2_E03_C14_3_3_i_GAGTCC_S21_R1_001										4.714470105227848	1.1696844623024698	0.5870299202951922	0.0	0.0	0.0	0.0
209148_HY5CNBGXT_TCDM_2_F03_A03_3_1_i_GGAGGT_S22_R1_001										11.970100029650471	3.7116736377209567	7.066071787476583	1.9524275546375438	2.7423397134302565	0.4900865921284867	0.0
209149_HY5CNBGXT_TCDM_2_G03_A03_3_3_i_CACACT_S23_R1_001										11.274131666198942	3.1019530700031868	5.094685568129545	1.6423127795539239	0.7753960418291712	0.0	0.0
209150_HY5CNBGXT_TCDM_2_H03_X4_32_1_o_CCGCAA_S24_R1_001										13.208980797917357	4.043777951300389	6.2311848098233895	1.7228204713297577	2.5317987047593657	0.14061614178592158	0.0
209151_HY5CNBGXT_TCDM_2_A04_A04_3_3_i_TTTATG_S25_R1_001										13.878425763660026	3.795014332372552	6.166307869670183	1.6548396165015484	1.505698784651471	0.09161534215439966	0.0
