Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
209135_HY5CNBGXT_TCDM_2_A02_X4_32_2_i_TCAGGA_S9_trim1	59.05312095643494	39.0	80.52705991852163	86	9.090909090909092	5741647.0
209136_HY5CNBGXT_TCDM_2_B02_C14_3_2_i_CGGTTA_S10_trim1	54.5880962771189	38.0	80.68101968417861	86	18.181818181818183	5671560.0
209137_HY5CNBGXT_TCDM_2_C02_X4_32_3_i_TTAACT_S11_trim1	56.490188460744214	39.0	80.45728808149065	86	9.090909090909092	4993653.0
209138_HY5CNBGXT_TCDM_2_D02_X4_32_3_o_ATGAAC_S12_trim1	55.00239470738403	39.0	79.57365163259364	86	18.181818181818183	5315836.0
209139_HY5CNBGXT_TCDM_2_E02_A04_3_2_o_CCTAAG_S13_trim1	36.62613633852791	38.0	76.68645779099133	86	18.181818181818183	1644104.0
209140_HY5CNBGXT_TCDM_2_F02_X4_32_1_i_CCGACC_S14_trim1	66.68930081841052	39.0	83.61430370109478	86	18.181818181818183	4741570.0
209141_HY5CNBGXT_TCDM_2_G02_A04_3_2_i_GGCTGC_S15_trim1	49.93642068627901	37.0	81.9646185081916	86	9.090909090909092	4665264.0
209142_HY5CNBGXT_TCDM_2_H02_A04_3_1_o_TACCTT_S16_trim1	45.879732286225035	38.0	80.32610889114284	86	9.090909090909092	5296372.0
209143_HY5CNBGXT_TCDM_2_A03_C14_3_3_o_TCTTAA_S17_trim1	42.58853437607729	38.0	82.7590955704871	86	0.0	5102841.0
209144_HY5CNBGXT_TCDM_2_B03_C14_3_1_i_GTCAGG_S18_trim1	49.32081504640019	38.0	81.31463066728604	86	9.090909090909092	4936159.0
209145_HY5CNBGXT_TCDM_2_C03_A04_3_3_o_ATACTG_S19_trim1	45.66687197755698	36.0	75.16922148236198	82	9.090909090909092	1341845.0
209146_HY5CNBGXT_TCDM_2_D03_A27_3_3_i_TATGTC_S20_trim1	47.96941902607477	38.0	82.32799482292567	86	0.0	5036049.0
209147_HY5CNBGXT_TCDM_2_E03_C14_3_3_i_GAGTCC_S21_trim1	41.59188155553031	40.0	78.0947555757507	86	9.090909090909092	132045.0
209148_HY5CNBGXT_TCDM_2_F03_A03_3_1_i_GGAGGT_S22_trim1	45.793996260504045	41.0	78.20114393336699	86	9.090909090909092	2374439.0
209149_HY5CNBGXT_TCDM_2_G03_A03_3_3_i_CACACT_S23_trim1	41.385612595689956	40.0	78.21544238593886	86	9.090909090909092	2467054.0
209150_HY5CNBGXT_TCDM_2_H03_X4_32_1_o_CCGCAA_S24_trim1	49.62379602695254	39.0	80.94473992057449	86	18.181818181818183	5240130.0
209151_HY5CNBGXT_TCDM_2_A04_A04_3_3_i_TTTATG_S25_trim1	51.04198977244783	37.0	82.4885375931568	86	18.181818181818183	5529118.0
