Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
209049_HY55YBGXT_TCDM_1_C03_X11_57_2_i_ATACTG_S19_trim1	209049_HY55YBGXT_TCDM_1_C03_X11_57_2_i_ATACTG_S19_trim1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13659.0	998 kbp	0.0	20-86	34.0	97.10081265099934	72.65070649388682	82	pass	pass	fail	pass	warn	warn	pass	warn	pass	warn	pass
209050_HY55YBGXT_TCDM_1_D03_X9_27_3_i_TATGTC_S20_trim1	209050_HY55YBGXT_TCDM_1_D03_X9_27_3_i_TATGTC_S20_trim1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6298.0	465.8 kbp	0.0	20-86	42.0	95.88758335979676	73.57796125754207	82	pass	pass	fail	pass	warn	fail	pass	warn	pass	warn	pass
209051_HY55YBGXT_TCDM_1_E03_C17_1_3_i_GAGTCC_S21_trim1	209051_HY55YBGXT_TCDM_1_E03_C17_1_3_i_GAGTCC_S21_trim1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15549.0	1 Mbp	0.0	20-86	46.0	87.09884880056595	68.90513859412181	80	pass	pass	fail	pass	fail	fail	pass	warn	pass	fail	warn
209052_HY55YBGXT_TCDM_1_F03_X11_57_3_i_GGAGGT_S22_trim1	209052_HY55YBGXT_TCDM_1_F03_X11_57_3_i_GGAGGT_S22_trim1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4672710.0	365.2 Mbp	0.0	20-86	48.0	42.129684246026564	77.78480581932112	84	pass	pass	pass	pass	warn	warn	pass	warn	fail	warn	pass
209053_HY55YBGXT_TCDM_1_G03_X9_27_1_o_CACACT_S23_trim1	209053_HY55YBGXT_TCDM_1_G03_X9_27_1_o_CACACT_S23_trim1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2254679.0	161 Mbp	0.0	20-86	46.0	56.08060075316742	71.03791093987215	80	pass	pass	pass	pass	warn	warn	pass	warn	warn	warn	pass
209054_HY55YBGXT_TCDM_1_H03_A04_1_2_o_CCGCAA_S24_trim1	209054_HY55YBGXT_TCDM_1_H03_A04_1_2_o_CCGCAA_S24_trim1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2856091.0	205.5 Mbp	0.0	20-86	45.0	58.79541368072655	71.55286858857089	82	pass	pass	pass	pass	warn	warn	pass	warn	warn	warn	pass
209055_HY55YBGXT_TCDM_1_A04_X4_67_2_o_TTTATG_S25_trim1	209055_HY55YBGXT_TCDM_1_A04_X4_67_2_o_TTTATG_S25_trim1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7724051.0	630 Mbp	0.0	20-86	38.0	44.21838922901411	81.28130070606733	86	pass	pass	pass	pass	fail	fail	pass	warn	fail	pass	pass
209056_HY55YBGXT_TCDM_1_B04_C64_1_2_o_AACGCC_S26_trim1	209056_HY55YBGXT_TCDM_1_B04_C64_1_2_o_AACGCC_S26_trim1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4959167.0	387.7 Mbp	0.0	20-86	40.0	44.581994409408296	77.86138801133336	84	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
209057_HY55YBGXT_TCDM_1_C04_A04_1_1_i_CAAGCA_S27_trim1	209057_HY55YBGXT_TCDM_1_C04_A04_1_1_i_CAAGCA_S27_trim1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7015405.0	575 Mbp	0.0	20-86	38.0	48.91994166307598	81.6974843220028	86	pass	pass	pass	pass	fail	fail	pass	warn	fail	pass	pass
209058_HY55YBGXT_TCDM_1_D04_X4_67_3_i_GCTCGA_S28_trim1	209058_HY55YBGXT_TCDM_1_D04_X4_67_3_i_GCTCGA_S28_trim1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1024075.0	77.3 Mbp	0.0	20-86	42.0	55.96906640920296	75.16659619656764	84	pass	pass	pass	pass	fail	fail	pass	warn	warn	warn	pass
