Sample_Name,Sample_Title,Isolate,Organism,Cultivar,Development_stage,Collection_date,Geographic_location,Tissue
TCDM2_X5_66_2_o,X5_66_2_o,2_o,Manihot esculenta,ITH21F005P066,5 MAP,5/26/22,"Ithaca, NY, USA", Storage root outer layer
TCDM2_A27_3_2_i,A27_3_2_i,2_i,Manihot esculenta,HIL16A027,5 MAP,5/26/22,"Ithaca, NY, USA",Storage root inner layer
TCDM2_C64_3_1_o,C64_3_1_o,1_o,Manihot esculenta,HIL16C064,5 MAP,5/26/22,"Ithaca, NY, USA", Storage root outer layer
TCDM2_X9_35_2_i,X9_35_2_i,2_i,Manihot esculenta,ITH21F009P035,5 MAP,5/26/22,"Ithaca, NY, USA",Storage root inner layer
TCDM2_C64_3_1_i,C64_3_1_i,1_i,Manihot esculenta,HIL16C064,5 MAP,5/26/22,"Ithaca, NY, USA",Storage root inner layer
TCDM2_C14_3_1_o,C14_3_1_o,1_o,Manihot esculenta,HIL16C014,5 MAP,5/26/22,"Ithaca, NY, USA", Storage root outer layer
TCDM2_X9_35_2_o,X9_35_2_o,2_o,Manihot esculenta,ITH21F009P035,5 MAP,5/26/22,"Ithaca, NY, USA", Storage root outer layer
TCDM2_C64_3_2_o,C64_3_2_o,2_o,Manihot esculenta,HIL16C064,5 MAP,5/26/22,"Ithaca, NY, USA", Storage root outer layer
TCDM2_X9_35_1_i,X9_35_1_i,1_i,Manihot esculenta,ITH21F009P035,5 MAP,5/26/22,"Ithaca, NY, USA",Storage root inner layer
TCDM2_C64_3_3_i,C64_3_3_i,3_i,Manihot esculenta,HIL16C064,5 MAP,5/26/22,"Ithaca, NY, USA",Storage root inner layer
TCDM2_C17_3_3_i,C17_3_3_i,3_i,Manihot esculenta,HIL16C017,5 MAP,5/26/22,"Ithaca, NY, USA",Storage root inner layer
TCDM2_X9_35_1_o,X9_35_1_o,1_o,Manihot esculenta,ITH21F009P035,5 MAP,5/26/22,"Ithaca, NY, USA", Storage root outer layer
TCDM2_X2_24_3_i,X2_24_3_i,3_i,Manihot esculenta,ITH21F002P024,5 MAP,5/27/22,"Ithaca, NY, USA",Storage root inner layer
TCDM2_X2_24_2_o,X2_24_2_o,2_o,Manihot esculenta,ITH21F002P024,5 MAP,5/27/22,"Ithaca, NY, USA", Storage root outer layer
TCDM2_X2_24_1_o,X2_24_1_o,1_o,Manihot esculenta,ITH21F002P024,5 MAP,5/27/22,"Ithaca, NY, USA", Storage root outer layer
TCDM2_X10_39_2_i,X10_39_2_i,2_i,Manihot esculenta,ITH21F010P039,5 MAP,5/27/22,"Ithaca, NY, USA",Storage root inner layer
TCDM2_X2_24_3_o,X2_24_3_o,3_o,Manihot esculenta,ITH21F002P024,5 MAP,5/27/22,"Ithaca, NY, USA", Storage root outer layer
TCDM2_X2_24_2_i,X2_24_2_i,2_i,Manihot esculenta,ITH21F002P024,5 MAP,5/27/22,"Ithaca, NY, USA",Storage root inner layer
TCDM2_X10_39_3_o,X10_39_3_o,3_o,Manihot esculenta,ITH21F010P039,5 MAP,5/27/22,"Ithaca, NY, USA", Storage root outer layer
TCDM2_X10_39_2_o,X10_39_2_o,2_o,Manihot esculenta,ITH21F010P039,5 MAP,5/27/22,"Ithaca, NY, USA", Storage root outer layer
TCDM2_X2_24_1_i,X2_24_1_i,1_i,Manihot esculenta,ITH21F002P024,5 MAP,5/27/22,"Ithaca, NY, USA",Storage root inner layer
TCDM2_X10_39_3_i,X10_39_3_i,3_i,Manihot esculenta,ITH21F010P039,5 MAP,5/27/22,"Ithaca, NY, USA",Storage root inner layer
TCDM2_X5_36_3_i,X5_36_3_i,3_i,Manihot esculenta,ITH21F005P036,5 MAP,5/27/22,"Ithaca, NY, USA",Storage root inner layer
TCDM2_C64_4_2_i,C64_4_2_i,2_i,Manihot esculenta,HIL16C064,5 MAP,5/27/22,"Ithaca, NY, USA",Storage root inner layer
TCDM2_C64_4_3_i,C64_4_3_i,3_i,Manihot esculenta,HIL16C064,5 MAP,5/27/22,"Ithaca, NY, USA",Storage root inner layer
TCDM2_X5_36_2_i,X5_36_2_i,2_i,Manihot esculenta,ITH21F005P036,5 MAP,5/27/22,"Ithaca, NY, USA",Storage root inner layer
TCDM2_C64_4_1_i,C64_4_1_i,1_i,Manihot esculenta,HIL16C064,5 MAP,5/27/22,"Ithaca, NY, USA",Storage root inner layer
TCDM2_C14_4_3_o,C14_4_3_o,3_o,Manihot esculenta,HIL16C014,5 MAP,5/27/22,"Ithaca, NY, USA", Storage root outer layer
TCDM2_C64_4_2_o,C64_4_2_o,2_o,Manihot esculenta,HIL16C064,5 MAP,5/27/22,"Ithaca, NY, USA", Storage root outer layer
TCDM2_C64_4_1_o,C64_4_1_o,1_o,Manihot esculenta,HIL16C064,5 MAP,5/27/22,"Ithaca, NY, USA", Storage root outer layer
TCDM2_X5_36_1_i,X5_36_1_i,1_i,Manihot esculenta,ITH21F005P036,5 MAP,5/27/22,"Ithaca, NY, USA",Storage root inner layer
