"","Sample_Name","Sample_Title","Isolate","Organism","Cultivar","Development_stage","Collection_date","Geographic_location","Tissue"
"142","TCDM_2_X8_37_2_o","X8_37_2_o","2_o","Manihot esculenta","ITH21F008P037","5 MAP","5/27/22","Ithaca, NY, USA"," Storage root outer layer"
"143","TCDM_2_X8_37_1_o","X8_37_1_o","1_o","Manihot esculenta","ITH21F008P037","5 MAP","5/27/22","Ithaca, NY, USA"," Storage root outer layer"
"144","TCDM_2_X8_37_3_i","X8_37_3_i","3_i","Manihot esculenta","ITH21F008P037","5 MAP","5/27/22","Ithaca, NY, USA","Storage root inner layer"
"145","TCDM_2_C14_4_1_i","C14_4_1_i","1_i","Manihot esculenta","HIL16C014","5 MAP","5/27/22","Ithaca, NY, USA","Storage root inner layer"
"146","TCDM_2_X8_37_1_i","X8_37_1_i","1_i","Manihot esculenta","ITH21F008P037","5 MAP","5/27/22","Ithaca, NY, USA","Storage root inner layer"
"147","TCDM_2_C14_4_1_o","C14_4_1_o","1_o","Manihot esculenta","HIL16C014","5 MAP","5/27/22","Ithaca, NY, USA"," Storage root outer layer"
"148","TCDM_3_417_X1_54_rt1_i","417_X1_54_rt1_i","1_i","Manihot esculenta","ITH21F001P054","5 MAP","5/30/23","Ithaca, NY, USA","Storage root inner layer"
"149","TCDM_3_417_X1_54_rt3_i","417_X1_54_rt3_i","3_i","Manihot esculenta","ITH21F001P054","5 MAP","5/30/23","Ithaca, NY, USA","Storage root inner layer"
"150","TCDM_3_101_X2_24_rt3_o","101_X2_24_rt3_o","3_o","Manihot esculenta","ITH21F002P024","6 MAP","6/20/23","Ithaca, NY, USA"," Storage root outer layer"
"151","TCDM_3_313_X1_54_rt1_i","313_X1_54_rt1_i","1_i","Manihot esculenta","ITH21F001P054","6 MAP","6/21/23","Ithaca, NY, USA","Storage root inner layer"
"152","TCDM_3_313_X1_54_rt2_i","313_X1_54_rt2_i","2_i","Manihot esculenta","ITH21F001P054","6 MAP","6/21/23","Ithaca, NY, USA","Storage root inner layer"
"153","TCDM_3_412_X11_68_rt3_i","412_X11_68_rt3_i","3_i","Manihot esculenta","ITH21F011P068","6 MAP","6/21/23","Ithaca, NY, USA","Storage root inner layer"
"154","TCDM_3_115_X1_54_rt1_i","115_X1_54_rt1_i","1_i","Manihot esculenta","ITH21F001P054","7 MAP","7/6/23","Ithaca, NY, USA","Storage root inner layer"
"155","TCDM_3_115_X1_54_rt1_o","115_X1_54_rt1_o","1_o","Manihot esculenta","ITH21F001P054","7 MAP","7/6/23","Ithaca, NY, USA"," Storage root outer layer"
"156","TCDM_3_115_X1_54_rt2_i","115_X1_54_rt2_i","2_i","Manihot esculenta","ITH21F001P054","7 MAP","7/6/23","Ithaca, NY, USA","Storage root inner layer"
"157","TCDM_3_115_X1_54_rt2_o","115_X1_54_rt2_o","2_o","Manihot esculenta","ITH21F001P054","7 MAP","7/6/23","Ithaca, NY, USA"," Storage root outer layer"
"158","TCDM_3_115_X1_54_rt3_i","115_X1_54_rt3_i","3_i","Manihot esculenta","ITH21F001P054","7 MAP","7/6/23","Ithaca, NY, USA","Storage root inner layer"
"159","TCDM_3_219_X2_24_rt3_i","219_X2_24_rt3_i","3_i","Manihot esculenta","ITH21F002P024","7 MAP","7/6/23","Ithaca, NY, USA","Storage root inner layer"
"160","TCDM_3_411_C17_rt1_o","411_C17_rt1_o","1_o","Manihot esculenta","HIL16C017","7 MAP","7/6/23","Ithaca, NY, USA"," Storage root outer layer"
"161","TCDM_3_411_C17_rt2_i","411_C17_rt2_i","2_i","Manihot esculenta","HIL16C017","7 MAP","7/6/23","Ithaca, NY, USA","Storage root inner layer"
"162","TCDM_3_302_C17_rt1_i","302_C17_rt1_i","1_i","Manihot esculenta","HIL16C017","8 MAP","7/28/23","Ithaca, NY, USA","Storage root inner layer"
