sample_ID,fresh_weight_(g),dry_weight_(g),tube_type,dry_date,notes,DMC_estimate,,block,harvest_date,previous_dry_weight_measurement_(g)
X10_30_1_i,14.21,10.024,orange,7/14/22,,44.63,,3,5/26/22,
X10_30_1_o,13.66,9.391,,,,39.1,,3,5/26/22,
X10_30_2_i,14.73,10.127,orange,7/14/22,,43.03,,3,5/26/22,
X10_30_2_o,12.77,8.913,orange,7/14/22,,36.98,,3,5/26/22,
X10_30_3_i,14.01,9.795,orange,7/14/22,,42.73,,3,5/26/22,
X10_30_3_o,13.04,8.819,orange,7/14/22,,33.94,,3,5/26/22,
A03_3_1_i,12.51,8.84,orange,7/14/22,,37.37,,3,5/26/22,
A03_3_1_o,12.16,8.667,,,,36.61,,3,5/26/22,
A03_3_2_i,15.63,,,,,,,3,5/26/22,10.175
A03_3_2_o,13.13,8.855,orange,7/14/22,,34.03,,3,5/26/22,
A03_3_3_i,15.87,10.336,orange,7/14/22,,39.98,,3,5/26/22,
A03_3_3_o,12.85,8.775,,,,34.27,,3,5/26/22,
C14_3_1_i,12.77,8.848,orange,7/14/22,,35.92,,3,5/26/22,
C14_3_1_o,13.37,8.846,orange,7/14/22,,32.68,,3,5/26/22,
C14_3_2_i,12.43,8.969,,,,40.12,,3,5/26/22,
C14_3_2_o,13.19,8.75,,,,32.11,,3,5/26/22,
C14_3_3_i,9.39,7.784,,,,41.39,,3,5/26/22,
C14_3_3_o,11.75,8.645,orange,7/14/22,,39.12,,3,5/26/22,
X3_44_1_i,13.67,9.695,orange,7/14/22,,43.38,,3,5/26/22,
X3_44_1_o,12.2,8.925,,,,40.99,,3,5/26/22,
X3_44_2_i,14.88,10.14,,,,42.41,,3,5/26/22,
X3_44_2_o,14.42,9.563,orange,7/14/22,,37.49,,3,5/26/22,
X3_44_3_i,13.88,9.422,orange,7/14/22,,38.34,,3,5/26/22,
X3_44_3_o,12.66,8.763,orange,7/14/22,,35.16,,3,5/26/22,
A01_3_1_i,10.68,7.962,orange,7/14/22,,32.56,,3,5/26/22,
A01_3_1_o,13.35,8.371,orange,7/14/22,,25.69,,3,5/26/22,
A01_3_2_i,12.27,8.933,orange,7/14/22,,40.62,,3,5/26/22,
A01_3_2_o,13.16,8.923,,,,34.92,,3,5/26/22,
A01_3_3_i,12.11,9.044,orange,7/14/22,,43.85,,3,5/26/22,
A01_3_3_o,13.28,8.894,orange,8/1/22,,33.84,,3,5/26/22,
X4_32_1_i,10.6,7.804,,,,29.22,,3,5/26/22,
X4_32_1_o,12.44,7.85,,,,20.73,,3,5/26/22,
X4_32_2_i,9.29,7.495,,,,32.01,,3,5/26/22,
X4_32_2_o,12.57,7.788,,7/25/22,ground,19.22,,3,5/26/22,
X4_32_3_i,9.38,7.41,,,,27.84,,3,5/26/22,
X4_32_3_o,12.96,8.082,,,,22.69,,3,5/26/22,
