samplenum,sample_ID,timept,harvest_date,plant,root,layer,empty_tube_weight_g,raw_fresh_weight_g,fresh_weight_g,greenhouse_notes,dry_date_out,dry_weight_g,dry_matter%,dry_matter%_complete,Drying_notes,tubeID,corrected_sampleID,corrected_genotypeID
95,401_X4_42_rt3_i,1,5/30/23,401,3,inner,,10.557,10.557,,,8.085,36.62,36.62,,401_X4_42_rt3_i,401_X4_42_rt3_i,X4_42
96,401_X4_42_rt3_o,1,5/30/23,401,3,outer,,16.856,16.856,,,10.185,34.59,34.59,,401_X4_42_rt3_o,401_X4_42_rt3_o,X4_42
97,404_X10_52_rt1_i,1,5/30/23,404,1,inner,,11.066,11.066,real genotype is X4_32 (corrected in genotypeID column),,8.019,30.89,30.89,,404_X10_52_rt1_i,404_X4_32_rt1_i,X4_32
98,404_X10_52_rt1_o,1,5/30/23,404,1,outer,,17.213,17.213,,,10.421,35.66,35.66,,404_X10_52_rt1_o,404_X4_32_rt1_o,X4_32
99,404_X10_52_rt2_i,1,5/30/23,404,2,inner,,11.477,11.477,,,8.249,33.03,33.03,,404_X10_52_rt2_i,404_X4_32_rt2_i,X4_32
100,404_X10_52_rt2_o,1,5/30/23,404,2,outer,,21.132,21.132,,4/10/24,11.638,34.41,34.41,,404_X10_52_rt2_o,404_X4_32_rt2_o,X4_32
101,404_X10_52_rt3_i,1,5/30/23,404,3,inner,,13.612,13.612,,4/10/24,9.182,36.30,36.30,,404_X10_52_rt3_i,404_X4_32_rt3_i,X4_32
102,404_X10_52_rt3_o,1,5/30/23,404,3,outer,,21.211,21.211,,7/14/23,11.42,32.73,32.73,,404_X10_52_rt3_o,404_X4_32_rt3_o,X4_32
103,406_X8_37_rt1_i,1,5/30/23,406,1,inner,,8.796,8.796,,,7.487,38.80,38.80,,406_X8_37_rt1_i,406_X8_37_rt1_i,X8_37
104,406_X8_37_rt1_o,1,5/30/23,406,1,outer,,19.861,19.861,tube broke and replaced,4/10/24,11.617,37.56,37.56,,406_X8_37_rt1_o,406_X8_37_rt1_o,X8_37
105,406_X8_37_rt2_i,1,5/30/23,406,2,inner,,10.713,10.713,,,8.331,41.27,41.27,,406_X8_37_rt2_i,406_X8_37_rt2_i,X8_37
106,406_X8_37_rt2_o,1,5/30/23,406,2,outer,,18.708,18.708,,4/10/24,11.545,40.56,40.56,,406_X8_37_rt2_o,406_X8_37_rt2_o,X8_37
107,406_X8_37_rt3_i,1,5/30/23,406,3,inner,,10.976,10.976,,,8.407,40.52,40.52,,406_X8_37_rt3_i,406_X8_37_rt3_i,X8_37
108,406_X8_37_rt3_o,1,5/30/23,406,3,outer,,18.244,18.244,,4/10/24,11.535,42.10,42.10,,406_X8_37_rt3_o,406_X8_37_rt3_o,X8_37
109,417_X1_54_rt1_i,1,5/30/23,417,1,inner,,9.782,9.782,,4/10/24,7.808,36.83,36.83,,417_X1_54_rt1_i,417_X1_54_rt1_i,X1_54
110,417_X1_54_rt1_o,1,5/30/23,417,1,outer,,19.974,19.974,,7/14/23,10.963,32.33,32.33,,417_X1_54_rt1_o,417_X1_54_rt1_o,X1_54
111,417_X1_54_rt2_i,1,5/30/23,417,2,inner,,9.368,9.368,,,7.764,40.83,40.83,,417_X1_54_rt2_i,417_X1_54_rt2_i,X1_54
112,417_X1_54_rt2_o,1,5/30/23,417,2,outer,,13.428,13.428,,4/10/24,8.924,33.48,33.48,,417_X1_54_rt2_o,417_X1_54_rt2_o,X1_54
113,417_X1_54_rt3_i,1,5/30/23,417,3,inner,,10.894,10.894,,4/10/24,8.45,42.32,42.32,,417_X1_54_rt3_i,417_X1_54_rt3_i,X1_54
114,417_X1_54_rt3_o,1,5/30/23,417,3,outer,,17.61,17.61,,4/10/24,10.502,35.10,35.10,,417_X1_54_rt3_o,417_X1_54_rt3_o,X1_54
115,419_X5_31_rt1_i,1,5/30/23,419,1,inner,,10.733,10.733,,4/10/24,8.225,38.47,38.47,,419_X5_31_rt1_i,419_X5_31_rt1_i,X5_31
116,419_X5_31_rt1_o,1,5/30/23,419,1,outer,,18.437,18.437,,4/10/24,10.483,32.48,32.48,,419_X5_31_rt1_o,419_X5_31_rt1_o,X5_31
117,419_X5_31_rt2_i,1,5/30/23,419,2,inner,,11.524,11.524,,,8.332,34.42,34.42,,419_X5_31_rt2_i,419_X5_31_rt2_i,X5_31
118,419_X5_31_rt2_o,1,5/30/23,419,2,outer,,16.59,16.59,,4/10/24,9.637,30.00,30.00,,419_X5_31_rt2_o,419_X5_31_rt2_o,X5_31
119,419_X5_31_rt3_i,1,5/30/23,419,3,inner,,9.972,9.972,,4/10/24,7.756,33.15,33.15,,419_X5_31_rt3_i,419_X5_31_rt3_i,X5_31
120,419_X5_31_rt3_o,1,5/30/23,419,3,outer,,16.536,16.536,,4/10/24,9.325,27.01,27.01,,419_X5_31_rt3_o,419_X5_31_rt3_o,X5_31
121,101_X2_24_rt1_i,2,6/20/23,101,1,inner,,11.484,11.484,,6/28/23,8.203,32.03,32.03,,101_X2_24_rt1_i,101_X2_24_rt1_i,X2_24
122,101_X2_24_rt1_o,2,6/20/23,101,1,outer,,16.585,16.585,,6/28/23,9.879,32.45,32.45,,101_X2_24_rt1_o,101_X2_24_rt1_o,X2_24
123,101_X2_24_rt2_i,2,6/20/23,101,2,inner,,12.13,12.13,,6/28/23,8.26,29.29,29.29,,101_X2_24_rt2_i,101_X2_24_rt2_i,X2_24
124,101_X2_24_rt2_o,2,6/20/23,101,2,outer,,16.01,16.01,,6/28/23,9.546,30.89,30.89,,101_X2_24_rt2_o,101_X2_24_rt2_o,X2_24
125,101_X2_24_rt3_i,2,6/20/23,101,3,inner,,10.523,10.523,,6/28/23,7.781,29.07,29.07,,101_X2_24_rt3_i,101_X2_24_rt3_i,X2_24
126,101_X2_24_rt3_o,2,6/20/23,101,3,outer,,15.346,15.346,,6/28/23,9.537,33.15,33.15,,101_X2_24_rt3_o,101_X2_24_rt3_o,X2_24
